StudentLevel,Department,SessionDate,SessionLengthMin,TotalPrompts,TaskType,AI_AssistanceLevel,FinalOutcome,UsedAgain,SatisfactionRating,DayOfWeek,IsWeekend,PromptsPerMinute,EstimatedSessionCost_USD,StudentAge,AcademicPressureScore,GpaImprovement
Undergraduate,Unknown,2025-06-17,23.91,8,Writing,4,Idea Drafted,False,2.6,Tuesday,False,0.33,0.08,23,82,0.25
Undergraduate,Psychology,2025-06-17,29.17,11,Homework Help,2,Assignment Completed,True,2.4,Wednesday,False,0.38,0.11,21,84,0.25
High School,Math,2025-04-30,13.91,5,Brainstorming,4,Idea Drafted,True,3.9,Wednesday,False,0.36,0.05,18,32,0.35
Undergraduate,Unknown,2025-04-30,30.54,6,Writing,3,Assignment Completed,True,1.7,Thursday,False,0.2,0.06,19,66,0.05
Undergraduate,Biology,2025-06-17,5.51,2,Studying,5,Confused,True,5.0,Tuesday,False,0.36,0.02,18,45,0.25
Undergraduate,Math,2025-04-11,16.7,12,Homework Help,2,Assignment Completed,True,1.0,Friday,False,0.38,0.12,22,69,0.22
Graduate,Computer Science,2025-04-26,4.52,1,Homework Help,2,Idea Drafted,True,1.9,Saturday,True,0.2,0.01,28,31,0.42
Graduate,Unknown,2025-05-05,3.76,1,Writing,4,Confused,True,3.8,Monday,False,0.27,0.01,33,51,0.49
Undergraduate,Biology,2025-04-18,4.49,1,Coding,4,Assignment Completed,True,3.4,Friday,False,0.22,0.01,21,49,0.12
Undergraduate,Biology,2025-04-18,9.57,4,Coding,2,Assignment Completed,True,1.4,Tuesday,False,0.21,0.02,23,10,0.36
Undergraduate,Computer Science,2024-09-10,20.46,5,Writing,4,Assignment Completed,True,5.0,Tuesday,False,0.24,0.01,19,21,0.3
Undergraduate,Computer Science,2024-09-10,16.7,4,Coding,4,Confused,False,4.0,Sunday,True,0.23,0.04,20,25,0.41
Undergraduate,Math,2024-09-10,41.12,10,Studying,4,Idea Drafted,True,5.0,Thursday,False,0.24,0.1,21,84,0.36
Undergraduate,Biology,2024-10-19,16.7,4,Studying,3,Confused,False,2.5,Saturday,True,0.37,0.04,22,43,0.11
Undergraduate,Psychology,2024-09-23,15.4,4,Coding,5,Idea Drafted,True,4.8,Monday,False,0.26,0.04,22,71,0.44
High School,Computer Science,2025-06-17,17.84,3,Studying,4,Confused,True,5.0,Tuesday,False,0.17,0.03,14,88,0.43
Undergraduate,History,2025-06-17,12.06,2,Writing,3,Assignment Completed,True,2.9,Thursday,False,0.17,0.02,21,58,0.21
Undergraduate,Unknown,2025-03-01,16.7,3,Studying,4,Assignment Completed,True,3.3,Saturday,True,0.18,0.03,23,40,0.1
Undergraduate,Business,2024-07-25,30.68,7,Homework Help,2,Assignment Completed,True,1.7,Thursday,False,0.23,0.07,19,22,0.31
Undergraduate,Engineering,2024-07-25,28.14,12,Homework Help,4,Idea Drafted,True,3.5,Tuesday,False,0.43,0.12,18,30,0.39
Undergraduate,Unknown,2025-02-01,27.89,12,Writing,2,Idea Drafted,True,1.0,Saturday,True,0.43,0.12,18,7,0.04
Graduate,Math,2025-02-01,8.41,1,Homework Help,3,Idea Drafted,True,3.7,Thursday,False,0.2,0.01,26,99,0.26
High School,Math,2025-04-28,7.32,2,Writing,4,Assignment Completed,False,3.3,Monday,False,0.27,0.02,14,91,0.2
High School,Math,2025-02-01,46.21,17,Studying,3,Assignment Completed,False,3.8,Saturday,True,0.37,0.17,15,43,0.01
Undergraduate,History,2024-10-26,16.92,6,Studying,4,Assignment Completed,True,4.5,Saturday,True,0.35,0.06,21,66,0.11
Undergraduate,Biology,2024-10-26,12.75,3,Studying,4,Idea Drafted,False,4.9,Monday,False,0.24,0.03,19,69,0.26
High School,Biology,2024-10-26,20.84,8,Homework Help,4,Idea Drafted,False,4.7,Thursday,False,0.38,0.08,16,22,0.25
Undergraduate,Math,2024-07-19,21.89,7,Writing,5,Assignment Completed,True,4.1,Friday,False,0.32,0.07,23,45,0.36
Undergraduate,Math,2024-11-05,23.18,9,Writing,3,Idea Drafted,True,2.0,Tuesday,False,0.2,0.09,22,17,0.34
Undergraduate,Biology,2024-11-05,26.36,10,Coding,4,Idea Drafted,False,4.3,Wednesday,False,0.38,0.1,23,91,0.21
Undergraduate,Math,2025-05-28,16.7,3,Research,3,Gave Up,True,3.0,Wednesday,Unknown,0.24,0.03,22,95,0.0
High School,Psychology,2024-08-26,24.97,5,Homework Help,3,Idea Drafted,True,2.9,Monday,False,0.2,0.05,15,44,0.38
Graduate,History,2024-09-13,29.86,9,Homework Help,3,Assignment Completed,False,2.7,Friday,False,0.3,0.09,29,98,0.2
Undergraduate,Computer Science,2025-05-28,16.7,4,Homework Help,1,Assignment Completed,True,1.0,Wednesday,False,0.2,0.02,19,36,0.43
Undergraduate,Math,2025-05-28,37.94,7,Homework Help,4,Assignment Completed,True,4.6,Wednesday,False,0.18,0.07,23,16,0.44
High School,Business,2025-01-31,23.04,9,Homework Help,5,Assignment Completed,True,4.6,Friday,False,0.39,0.09,18,95,0.01
High School,History,2025-06-07,17.53,6,Coding,4,Assignment Completed,True,4.3,Saturday,True,0.34,0.06,14,68,0.37
Graduate,Business,2025-06-19,7.61,2,Writing,3,Idea Drafted,False,2.6,Thursday,False,0.26,0.02,31,27,0.35
Graduate,Biology,2025-05-26,16.7,4,Coding,3,Gave Up,True,3.5,Monday,False,0.28,0.04,33,29,0.5
Undergraduate,History,2024-07-02,17.81,4,Studying,3,Idea Drafted,False,1.0,Tuesday,False,0.22,0.04,22,1,0.27
Undergraduate,Psychology,2025-04-22,20.62,8,Writing,2,Idea Drafted,False,2.9,Tuesday,False,0.39,0.08,20,44,0.11
Undergraduate,Engineering,2024-08-20,3.46,1,Brainstorming,4,Confused,False,5.0,Tuesday,False,0.29,0.01,20,51,0.25
High School,Math,2025-02-28,43.03,17,Coding,3,Idea Drafted,True,3.6,Friday,False,0.4,0.17,15,94,0.48
High School,Business,2025-02-28,13.28,3,Writing,3,Assignment Completed,True,3.5,Monday,False,0.23,0.03,14,91,0.32
Undergraduate,Biology,2024-08-28,43.29,20,Coding,4,Assignment Completed,True,3.5,Wednesday,False,0.46,0.2,19,41,0.07
High School,History,2025-04-22,19.81,4,Brainstorming,3,Assignment Completed,True,3.8,Tuesday,False,0.2,0.04,15,20,0.38
Undergraduate,Computer Science,2025-04-22,15.16,7,Writing,4,Assignment Completed,False,4.5,Wednesday,False,0.46,0.07,20,59,0.39
Undergraduate,Engineering,2025-04-03,13.39,4,Writing,3,Assignment Completed,True,3.5,Thursday,False,0.3,0.04,21,42,0.13
High School,Computer Science,2025-04-03,8.31,2,Studying,3,Confused,True,3.6,Tuesday,False,0.24,0.02,14,59,0.46
Undergraduate,Unknown,2025-02-06,33.82,7,Writing,4,Assignment Completed,True,4.7,Thursday,False,0.21,0.07,20,8,0.12
High School,Engineering,2025-04-10,13.51,5,Writing,5,Assignment Completed,True,5.0,Thursday,False,0.37,0.05,14,8,0.24
Undergraduate,Math,2024-11-06,7.76,2,Coding,3,Gave Up,True,3.5,Friday,False,0.2,0.02,22,84,0.22
Undergraduate,Biology,2025-03-08,34.0,11,Homework Help,4,Assignment Completed,True,1.0,Saturday,True,0.32,0.11,18,88,0.3
Undergraduate,Unknown,2024-07-03,12.57,5,Studying,3,Assignment Completed,True,4.5,Wednesday,False,0.4,0.05,21,34,0.15
Undergraduate,Biology,2024-07-29,5.49,1,Writing,4,Assignment Completed,True,1.3,Monday,False,0.18,0.01,18,79,0.03
Graduate,Biology,2024-10-19,10.79,3,Studying,4,Confused,True,3.5,Saturday,True,0.28,0.03,24,4,0.5
Undergraduate,Business,2024-10-19,12.5,5,Writing,4,Assignment Completed,False,3.9,Monday,False,0.4,0.05,22,46,0.12
Graduate,Psychology,2024-10-09,4.28,1,Studying,3,Assignment Completed,True,2.7,Wednesday,False,0.23,0.01,27,16,0.48
Graduate,Unknown,2025-03-04,16.7,6,Coding,4,Assignment Completed,False,4.9,Tuesday,False,0.29,0.06,18,13,0.33
Undergraduate,History,2025-03-04,31.36,4,Coding,5,Assignment Completed,True,5.0,Tuesday,False,0.38,0.12,19,32,0.25
Graduate,History,2025-04-05,8.86,4,Homework Help,3,Confused,False,3.9,Saturday,True,0.11,0.01,25,72,0.35
Undergraduate,Unknown,2025-01-08,16.7,3,Writing,3,Idea Drafted,True,3.1,Wednesday,False,0.16,0.03,18,69,0.38
Graduate,Psychology,2024-09-06,34.76,8,Studying,5,Assignment Completed,True,5.0,Friday,False,0.23,0.08,24,22,0.25
Graduate,Biology,2024-09-06,14.67,3,Writing,5,Assignment Completed,True,4.8,Tuesday,False,0.2,0.03,23,37,0.25
Undergraduate,Engineering,2025-02-16,16.7,6,Coding,5,Assignment Completed,True,3.5,Sunday,True,0.31,0.06,20,69,0.17
High School,Unknown,2025-02-16,6.43,1,Writing,5,Idea Drafted,True,5.0,Friday,False,0.16,0.01,14,75,0.48
Undergraduate,History,2024-09-08,11.29,2,Writing,3,Idea Drafted,True,1.6,Sunday,True,0.18,0.02,20,32,0.23
Undergraduate,Biology,2025-06-13,13.48,5,Coding,4,Assignment Completed,True,4.8,Friday,False,0.2,0.05,18,41,0.0
Undergraduate,Biology,2024-06-25,30.26,6,Studying,5,Confused,False,4.5,Tuesday,False,0.2,0.06,18,1,0.34
Undergraduate,Psychology,2025-02-02,12.21,4,Writing,5,Idea Drafted,True,5.0,Sunday,True,0.33,0.04,21,98,0.01
Undergraduate,Psychology,2025-02-02,18.01,4,Writing,4,Assignment Completed,True,4.6,Monday,False,0.22,0.04,23,77,0.29
Undergraduate,Unknown,2025-02-02,12.34,3,Homework Help,4,Assignment Completed,True,4.9,Friday,False,0.2,0.03,23,47,0.37
Undergraduate,Psychology,2024-07-26,17.67,6,Coding,3,Assignment Completed,True,3.7,Friday,False,0.34,0.06,19,12,0.31
Undergraduate,Business,2024-09-13,25.29,5,Homework Help,5,Assignment Completed,True,4.8,Friday,False,0.2,0.05,19,70,0.12
High School,Biology,2025-03-17,9.2,2,Studying,3,Confused,False,3.3,Monday,False,0.22,0.02,16,73,0.29
Undergraduate,Engineering,2025-02-09,9.28,3,Writing,3,Assignment Completed,True,2.9,Sunday,True,0.2,0.03,23,49,0.44
Graduate,Computer Science,2025-01-04,6.0,1,Writing,4,Idea Drafted,True,4.0,Saturday,True,0.17,0.01,27,27,0.39
Undergraduate,Computer Science,2025-01-04,16.7,3,Writing,4,Assignment Completed,True,2.6,Tuesday,False,0.35,0.03,23,59,0.34
Undergraduate,Psychology,2025-02-15,8.53,2,Coding,5,Idea Drafted,True,5.0,Saturday,True,0.23,0.02,18,3,0.25
Undergraduate,Engineering,2024-08-07,2.13,1,Research,4,Confused,False,3.9,Wednesday,False,0.47,0.01,18,2,0.15
Undergraduate,Psychology,2024-08-07,27.77,12,Writing,4,Idea Drafted,True,5.0,Monday,False,0.43,0.12,18,6,0.26
Undergraduate,Engineering,2024-07-12,3.04,1,Writing,5,Assignment Completed,True,5.0,Friday,False,0.33,0.01,19,42,0.38
Undergraduate,Biology,2025-02-24,8.46,3,Writing,3,Assignment Completed,True,2.1,Monday,False,0.2,0.03,22,21,0.33
Graduate,Biology,2024-08-21,16.7,3,Coding,3,Assignment Completed,False,4.1,Wednesday,False,0.29,0.03,31,88,0.0
Undergraduate,Biology,2025-04-04,33.25,8,Writing,5,Idea Drafted,True,3.5,Friday,False,0.24,0.01,21,69,0.22
High School,Biology,2024-08-21,17.75,4,Coding,4,Idea Drafted,True,4.9,Wednesday,False,0.2,0.04,14,58,0.21
High School,Unknown,2024-08-07,19.16,6,Coding,5,Idea Drafted,True,5.0,Wednesday,False,0.31,0.06,17,21,0.33
Undergraduate,Unknown,2024-08-24,16.7,7,Homework Help,3,Assignment Completed,True,2.6,Saturday,True,0.28,0.07,19,48,0.27
High School,Psychology,2024-08-08,30.8,6,Homework Help,4,Assignment Completed,True,5.0,Thursday,False,0.19,0.06,17,32,0.21
High School,Engineering,2025-05-26,23.49,5,Writing,2,Assignment Completed,True,2.0,Monday,False,0.21,0.05,18,97,0.1
High School,Computer Science,2025-05-26,26.77,5,Coding,4,Assignment Completed,True,3.5,Monday,False,0.19,0.05,16,88,0.25
Undergraduate,Math,2025-06-17,6.68,2,Homework Help,4,Assignment Completed,True,5.0,Tuesday,False,0.3,0.02,18,63,0.08
Graduate,Biology,2025-03-23,25.39,6,Writing,3,Idea Drafted,True,1.8,Sunday,True,0.24,0.06,31,65,0.21
Undergraduate,Business,2024-12-19,27.51,4,Homework Help,4,Assignment Completed,True,3.9,Thursday,Unknown,0.44,0.12,19,96,0.41
Undergraduate,Unknown,2024-11-30,15.33,6,Writing,3,Gave Up,True,3.7,Saturday,True,0.39,0.06,21,51,0.07
Undergraduate,Biology,2024-11-30,29.72,6,Homework Help,5,Assignment Completed,True,3.6,Sunday,True,0.2,0.06,18,37,0.13
Graduate,Business,2025-04-12,4.39,1,Studying,3,Confused,False,1.8,Saturday,True,0.23,0.01,33,20,0.09
High School,Psychology,2025-04-12,11.39,4,Coding,3,Assignment Completed,True,2.8,Friday,False,0.26,0.03,18,48,0.35
Graduate,Psychology,2024-08-17,2.69,1,Studying,3,Idea Drafted,True,3.5,Saturday,True,0.37,0.01,23,13,0.09
Undergraduate,Computer Science,2024-07-14,16.7,1,Studying,3,Assignment Completed,True,2.1,Sunday,True,0.2,0.01,18,51,0.43
High School,Engineering,2024-08-07,19.8,8,Coding,3,Assignment Completed,True,3.5,Wednesday,False,0.4,0.08,14,47,0.19
High School,Biology,2025-02-14,12.28,4,Writing,3,Assignment Completed,False,4.3,Friday,False,0.2,0.04,17,9,0.26
Undergraduate,Engineering,2025-04-19,13.37,4,Writing,2,Assignment Completed,True,2.0,Saturday,True,0.3,0.04,22,59,0.04
Undergraduate,Unknown,2025-04-09,34.23,6,Brainstorming,4,Gave Up,True,4.3,Wednesday,False,0.18,0.06,19,78,0.05
Undergraduate,History,2025-03-12,19.46,4,Coding,4,Assignment Completed,True,3.1,Wednesday,False,0.21,0.04,19,32,0.17
Undergraduate,Business,2024-07-28,26.53,4,Writing,4,Idea Drafted,True,4.4,Sunday,True,0.38,0.1,20,17,0.25
Undergraduate,Engineering,2024-08-08,14.24,2,Writing,2,Gave Up,False,2.0,Thursday,Unknown,0.14,0.02,18,53,0.37
Graduate,Biology,2024-08-06,31.95,15,Writing,3,Assignment Completed,True,4.4,Tuesday,False,0.47,0.15,25,74,0.16
Graduate,Psychology,2024-11-19,10.33,4,Brainstorming,3,Idea Drafted,False,3.9,Tuesday,False,0.39,0.04,26,2,0.43
Undergraduate,Computer Science,2024-11-19,10.13,3,Homework Help,4,Confused,True,5.0,Wednesday,False,0.3,0.03,21,92,0.38
Undergraduate,Psychology,2024-11-19,20.47,5,Coding,4,Confused,True,2.6,Saturday,True,0.24,0.05,23,33,0.06
Undergraduate,Business,2024-08-13,32.61,7,Homework Help,4,Assignment Completed,False,4.3,Tuesday,False,0.21,0.07,23,73,0.25
High School,Engineering,2024-08-13,16.09,3,Writing,4,Assignment Completed,True,4.9,Friday,False,0.19,0.03,17,48,0.28
High School,Psychology,2024-09-02,44.44,16,Writing,3,Idea Drafted,True,3.4,Monday,False,0.36,0.01,14,13,0.03
Graduate,Business,2024-07-10,11.84,2,Studying,4,Assignment Completed,True,5.0,Wednesday,False,0.17,0.02,34,83,0.02
Undergraduate,Business,2024-07-10,44.77,9,Studying,5,Idea Drafted,True,4.1,Friday,False,0.2,0.09,19,91,0.19
Undergraduate,Math,2025-02-18,15.06,5,Homework Help,3,Idea Drafted,True,2.7,Tuesday,False,0.33,0.05,22,45,0.37
Undergraduate,Engineering,2025-03-31,28.16,8,Writing,3,Assignment Completed,True,2.8,Monday,False,0.28,0.08,21,94,0.28
High School,Business,2024-07-06,10.18,2,Research,3,Confused,False,2.4,Saturday,True,0.2,0.02,14,47,0.14
Graduate,Psychology,2024-07-06,11.92,4,Writing,3,Idea Drafted,True,2.1,Saturday,True,0.34,0.04,26,12,0.37
Graduate,Business,2024-07-06,16.7,3,Homework Help,3,Confused,False,3.6,Thursday,False,0.21,0.03,29,69,0.02
Undergraduate,Unknown,2025-03-31,14.41,3,Writing,3,Assignment Completed,True,3.3,Monday,Unknown,0.21,0.03,18,11,0.25
High School,Business,2025-03-31,6.08,2,Writing,4,Assignment Completed,True,2.9,Monday,False,0.33,0.02,15,20,0.15
Graduate,Psychology,2025-03-07,16.7,6,Homework Help,3,Confused,True,3.5,Friday,False,0.2,0.06,34,45,0.34
Undergraduate,Biology,2025-03-07,26.0,6,Writing,2,Confused,True,1.0,Tuesday,False,0.2,0.06,17,67,0.27
High School,Business,2025-06-18,22.59,5,Studying,4,Confused,True,3.5,Wednesday,False,0.22,0.01,15,85,0.2
Undergraduate,Computer Science,2025-01-15,20.93,6,Writing,2,Idea Drafted,False,2.6,Wednesday,False,0.29,0.06,23,91,0.23
Undergraduate,Psychology,2025-04-15,45.97,11,Coding,4,Idea Drafted,True,4.3,Tuesday,False,0.24,0.11,22,67,0.02
Undergraduate,Computer Science,2024-12-10,27.16,9,Coding,3,Assignment Completed,True,3.3,Tuesday,False,0.33,0.01,18,3,0.07
High School,Unknown,2025-06-21,35.77,9,Writing,2,Gave Up,False,1.0,Saturday,True,0.25,0.09,17,1,0.22
High School,Biology,2024-09-28,30.83,11,Writing,5,Idea Drafted,True,4.2,Sunday,True,0.36,0.11,15,56,0.44
Graduate,Computer Science,2025-06-18,32.98,7,Brainstorming,4,Idea Drafted,True,3.5,Wednesday,False,0.21,0.07,30,69,0.27
Undergraduate,Psychology,2025-06-18,41.14,16,Writing,3,Idea Drafted,True,3.9,Thursday,False,0.39,0.16,20,80,0.13
Undergraduate,History,2025-04-10,21.47,8,Research,4,Confused,False,3.9,Thursday,False,0.2,0.08,18,20,0.31
High School,Psychology,2025-04-10,16.7,1,Studying,4,Assignment Completed,True,4.3,Friday,Unknown,0.16,0.01,18,66,0.2
Graduate,Math,2025-04-10,20.41,7,Brainstorming,3,Idea Drafted,True,3.5,Sunday,True,0.34,0.07,18,46,0.29
Graduate,Business,2024-07-08,4.58,1,Coding,4,Idea Drafted,True,3.1,Monday,False,0.22,0.01,22,95,0.45
High School,Math,2024-07-08,16.7,2,Writing,4,Confused,True,2.7,Wednesday,False,0.22,0.02,18,12,0.48
High School,History,2025-02-01,25.5,6,Writing,2,Idea Drafted,True,1.2,Saturday,True,0.2,0.06,14,100,0.23
Graduate,History,2024-09-06,7.24,1,Coding,5,Assignment Completed,True,3.5,Friday,False,0.14,0.01,26,91,0.42
Undergraduate,History,2024-12-08,6.48,1,Coding,5,Assignment Completed,True,4.7,Sunday,True,0.15,0.01,18,24,0.44
Undergraduate,History,2024-11-18,16.7,4,Writing,3,Assignment Completed,True,3.4,Monday,Unknown,0.45,0.04,20,66,0.29
Undergraduate,Engineering,2024-11-18,28.25,7,Homework Help,4,Idea Drafted,False,4.2,Friday,False,0.25,0.07,23,78,0.39
High School,History,2024-09-12,27.03,5,Coding,2,Assignment Completed,False,1.1,Thursday,False,0.18,0.05,18,24,0.39
Graduate,Math,2025-01-18,21.99,7,Coding,3,Assignment Completed,True,2.6,Saturday,True,0.32,0.07,26,54,0.16
High School,Psychology,2024-06-29,45.62,11,Homework Help,2,Confused,True,4.2,Saturday,Unknown,0.24,0.11,17,56,0.27
Graduate,Biology,2024-06-29,18.01,3,Writing,4,Idea Drafted,True,5.0,Friday,False,0.17,0.03,31,12,0.29
Undergraduate,Psychology,2024-09-01,13.76,4,Writing,3,Assignment Completed,False,3.2,Sunday,True,0.15,0.02,18,67,0.04
Undergraduate,Business,2024-12-17,15.2,5,Writing,4,Idea Drafted,True,3.3,Tuesday,False,0.33,0.05,18,29,0.12
Undergraduate,Math,2025-03-03,9.05,1,Homework Help,3,Idea Drafted,True,3.8,Monday,False,0.11,0.01,19,63,0.25
Undergraduate,Math,2025-05-30,18.2,4,Writing,3,Assignment Completed,True,3.6,Friday,False,0.22,0.04,21,68,0.09
Undergraduate,Psychology,2025-03-09,16.76,4,Homework Help,4,Confused,True,4.9,Sunday,True,0.24,0.04,18,51,0.32
High School,Math,2025-05-05,7.57,2,Homework Help,3,Assignment Completed,True,3.2,Monday,False,0.2,0.02,18,31,0.11
Undergraduate,Psychology,2024-10-19,21.69,6,Homework Help,2,Assignment Completed,True,1.8,Saturday,Unknown,0.28,0.06,20,10,0.07
Undergraduate,History,2025-04-21,10.11,2,Homework Help,3,Confused,False,3.8,Friday,False,0.2,0.01,22,14,0.23
High School,Computer Science,2025-01-12,7.35,1,Writing,3,Idea Drafted,True,2.6,Sunday,True,0.14,0.01,18,68,0.2
Undergraduate,Biology,2024-08-03,27.77,7,Writing,4,Idea Drafted,True,2.4,Saturday,True,0.25,0.07,20,13,0.11
High School,Biology,2025-04-16,24.69,5,Brainstorming,4,Idea Drafted,True,4.7,Wednesday,False,0.2,0.05,14,3,0.25
Undergraduate,Psychology,2025-04-24,2.62,1,Homework Help,2,Gave Up,False,1.5,Thursday,False,0.38,0.01,22,36,0.37
Undergraduate,Biology,2024-10-11,12.41,2,Coding,4,Assignment Completed,True,3.5,Friday,False,0.16,0.02,23,20,0.45
Undergraduate,Business,2024-08-31,7.07,1,Writing,4,Assignment Completed,True,1.9,Friday,True,0.14,0.01,22,9,0.25
High School,History,2024-08-31,19.53,4,Homework Help,1,Idea Drafted,True,1.0,Friday,False,0.2,0.04,15,65,0.22
Graduate,Psychology,2024-07-28,19.4,5,Studying,4,Confused,False,3.4,Sunday,True,0.26,0.05,29,5,0.48
Undergraduate,History,2024-10-12,18.61,8,Writing,5,Gave Up,False,5.0,Saturday,True,0.43,0.08,21,60,0.38
Graduate,Engineering,2024-07-02,36.61,9,Brainstorming,3,Idea Drafted,True,4.1,Tuesday,False,0.25,0.09,32,7,0.13
Undergraduate,History,2025-04-26,3.55,1,Writing,4,Assignment Completed,True,3.9,Saturday,True,0.28,0.01,20,4,0.37
Undergraduate,History,2025-01-26,29.66,12,Writing,3,Idea Drafted,False,2.2,Sunday,True,0.4,0.01,20,51,0.29
Undergraduate,Business,2025-01-26,16.39,3,Writing,2,Confused,True,1.8,Sunday,True,0.18,0.03,20,42,0.07
High School,Unknown,2024-11-24,39.45,18,Coding,2,Idea Drafted,True,2.3,Sunday,True,0.46,0.18,14,14,0.31
High School,Computer Science,2025-02-21,7.34,1,Studying,2,Gave Up,True,3.5,Friday,False,0.14,0.01,14,82,0.41
Graduate,Biology,2025-01-13,13.47,6,Homework Help,4,Assignment Completed,True,3.4,Monday,False,0.45,0.06,28,51,0.47
Undergraduate,Engineering,2025-01-13,4.19,1,Writing,5,Assignment Completed,True,5.0,Saturday,True,0.2,0.01,21,51,0.09
Undergraduate,Unknown,2025-06-17,32.54,7,Writing,4,Idea Drafted,True,3.3,Tuesday,False,0.2,0.07,18,51,0.13
Graduate,Psychology,2024-11-01,13.18,4,Studying,4,Idea Drafted,True,3.5,Friday,False,0.15,0.02,25,58,0.18
Undergraduate,Biology,2024-11-01,16.7,7,Writing,1,Idea Drafted,True,1.0,Friday,Unknown,0.2,0.07,21,47,0.26
Undergraduate,Biology,2024-06-27,11.99,2,Coding,4,Assignment Completed,True,3.5,Thursday,False,0.17,0.02,19,23,0.25
High School,History,2024-06-27,44.36,8,Studying,4,Confused,False,3.5,Sunday,True,0.18,0.08,16,64,0.4
Undergraduate,Psychology,2024-06-27,42.75,9,Studying,4,Assignment Completed,True,3.9,Sunday,True,0.21,0.01,16,83,0.03
Undergraduate,Unknown,2024-10-28,17.6,5,Brainstorming,2,Idea Drafted,True,2.7,Monday,False,0.28,0.05,22,31,0.12
Undergraduate,Biology,2024-08-15,12.37,3,Writing,2,Idea Drafted,True,2.5,Thursday,False,0.24,0.03,21,64,0.25
Graduate,Psychology,2024-08-21,12.0,4,Coding,4,Assignment Completed,True,4.5,Wednesday,False,0.33,0.04,27,12,0.24
Undergraduate,Business,2025-02-10,16.7,2,Writing,4,Assignment Completed,True,5.0,Monday,False,0.19,0.02,20,65,0.21
Graduate,Psychology,2024-10-13,37.48,9,Studying,4,Idea Drafted,True,2.3,Sunday,True,0.24,0.09,34,84,0.39
Undergraduate,History,2024-10-13,20.38,7,Writing,2,Idea Drafted,True,3.4,Saturday,True,0.34,0.07,23,70,0.06
Graduate,Engineering,2024-08-13,16.7,4,Coding,3,Assignment Completed,True,2.2,Tuesday,False,0.18,0.04,31,51,0.44
High School,History,2024-06-30,29.01,6,Coding,5,Idea Drafted,True,5.0,Sunday,True,0.21,0.06,16,76,0.43
Undergraduate,Unknown,2025-05-09,5.27,1,Coding,3,Confused,True,4.1,Friday,False,0.2,0.01,21,24,0.45
Graduate,Psychology,2025-02-08,23.4,10,Writing,3,Assignment Completed,True,2.1,Saturday,True,0.43,0.1,32,51,0.05
Graduate,Engineering,2024-09-07,22.22,4,Writing,4,Assignment Completed,False,3.5,Sunday,True,0.18,0.04,30,51,0.13
Undergraduate,Engineering,2025-05-18,12.03,560,Writing,4,Assignment Completed,True,4.0,Sunday,True,0.17,0.02,18,73,0.09
Undergraduate,Math,2025-05-18,17.36,7,Coding,5,Confused,False,5.0,Wednesday,False,0.4,0.07,21,53,0.16
Undergraduate,Psychology,2024-11-06,18.93,4,Writing,4,Confused,True,3.3,Wednesday,False,0.21,0.04,22,97,0.41
Graduate,Biology,2025-03-31,7.46,1,Writing,2,Idea Drafted,True,2.3,Monday,False,0.13,0.01,26,98,0.46
High School,Biology,2025-05-16,14.47,6,Brainstorming,2,Gave Up,True,2.9,Friday,False,0.2,0.06,16,41,0.41
High School,History,2025-04-27,33.54,10,Writing,3,Idea Drafted,False,3.4,Sunday,True,0.3,0.1,18,26,0.49
Undergraduate,Biology,2024-07-19,16.7,10,Coding,4,Idea Drafted,True,3.5,Friday,False,0.4,0.1,20,36,0.3
Undergraduate,Computer Science,2025-05-04,26.4,9,Coding,4,Assignment Completed,True,4.8,Sunday,True,0.2,0.09,18,51,0.34
Undergraduate,Biology,2025-04-08,30.47,4,Coding,4,Idea Drafted,True,4.3,Tuesday,False,0.39,0.12,23,6,0.24
Undergraduate,Math,2025-04-05,15.85,5,Coding,1,Assignment Completed,True,1.2,Saturday,Unknown,0.32,0.05,20,30,0.46
Undergraduate,Computer Science,2025-03-05,4.36,1,Writing,4,Assignment Completed,False,3.5,Wednesday,False,0.23,0.01,18,51,0.12
High School,Business,2025-03-05,9.94,2,Coding,4,Assignment Completed,True,4.6,Monday,False,0.2,0.02,18,20,0.38
Undergraduate,History,2025-03-05,8.84,3,Studying,3,Gave Up,False,4.6,Friday,False,0.34,0.03,18,9,0.47
Undergraduate,Engineering,2025-06-20,16.7,1,Writing,4,Assignment Completed,True,4.8,Friday,False,0.15,0.01,15,4,0.23
Undergraduate,Biology,2025-06-20,16.7,10,Homework Help,5,Assignment Completed,True,4.3,Sunday,True,0.37,0.01,19,68,0.27
High School,Math,2025-03-28,16.7,3,Writing,4,Assignment Completed,True,4.9,Friday,False,0.23,0.03,15,100,0.04
Undergraduate,Engineering,2025-03-10,37.36,4,Homework Help,4,Confused,True,3.6,Monday,False,0.43,0.16,22,47,0.29
Graduate,History,2025-01-30,32.29,12,Writing,3,Confused,False,4.0,Thursday,False,0.37,0.12,34,51,0.28
Undergraduate,Math,2025-02-10,20.38,5,Studying,4,Assignment Completed,True,3.8,Monday,False,0.25,0.05,20,75,0.09
High School,Computer Science,2024-08-12,40.42,9,Coding,2,Assignment Completed,True,2.2,Monday,False,0.22,0.09,18,66,0.28
Undergraduate,Biology,2025-04-22,11.92,3,Research,4,Assignment Completed,True,3.5,Tuesday,Unknown,0.25,0.03,21,71,0.02
Undergraduate,Psychology,2025-03-20,23.49,11,Coding,3,Assignment Completed,False,3.2,Thursday,Unknown,0.47,0.11,20,59,0.25
