StudentLevel,Discipline,SessionDate,SessionLengthMin,TotalPrompts,TaskType,AI_AssistanceLevel,FinalOutcome,UsedAgain,SatisfactionRating,DayOfWeek,IsWeekend,PromptsPerMinute,EstimatedSessionCost_USD,StudentAge,AcademicPressureScore,GpaImprovement
Graduate,  Math  ,2024-08-27,,,Writing,4.0,nan,True,3.5,Tuesday,False,0.2,0.03,24.0,11.0,0.34
Undergraduate,Business,2024-11-27,19.3,5.0,Writing,4.0,Confused,True,3.9,Wednesday,False,0.26,0.05,,3.0,0.45
undergraduate,BIOLOGY,2025-04-13,12.72,2.0,  Writing  ,4.0,Assignment Completed,True,3.4,Sunday,True,0.16,0.02,22.0,51.0,0.29
Undergraduate,History,11 Feb 2025,9.36,2.0,  writing  ,2.0,Assignment Completed,  True  ,1.0,tuesday,False,0.21,0.02,21.0,43.0,0.5
Graduate,Biology,2025-03-25,8.54,2.0,Homework Help,5.0,Confused,False,4.2,TUESDAY,False,0.23,0.02,30.0,49.0,0.29
GRADUATE,Engineering,2025-02-01,32.5,13.0,Brainstorming,5.0,Confused,TRUE,,Saturday,True,0.4,0.13,31.0,80.0,0.22
graduate,,2025-02-21,13.31,5.0,Coding,5.0,Assignment Completed,True,4.4,Friday,,0.38,0.05,29.0,49.0,0.04
Graduate,Math,2025-02-22,14.39,5.0,HOMEWORK HELP,3.0,GAVE UP,False,3.0,Saturday,True,0.35,0.05,29.0,12.0,0.48
Undergraduate,psychology,2024-12-04,24.22,5.0,Brainstorming,2.0,idea drafted,True,1.9,Wednesday,false,,0.05,21.0,23.0,0.35
Undergraduate,Biology,17 Apr 2025,33.28,10.0,studying,3.0,Assignment Completed,True,5.0,thursday,False,0.3,0.1,19.0,72.0,0.14
Undergraduate,Math,2025-02-21,11.91,,  HOMEWORK HELP  ,3.0,GAVE UP,False,2.9,Friday,FALSE,0.17,0.02,20.0,43.0,0.44
Undergraduate,Business,  2025-02-01  ,23.8,7.0,coding,4.0,Assignment Completed,NAN,,Saturday,TRUE,0.29,0.07,21.0,3.0,0.3
High School,,2025-05-03,20.09,8.0,Studying,5.0,confused,False,5.0,Saturday,True,0.4,0.08,14.0,50.0,0.14
Graduate,History,2024-11-16,50.5,11.0,,3.0,Idea Drafted,True,3.7,Saturday,True,0.22,0.11,33.0,23.0,0.41
Undergraduate,Business,,26.75,9.0,WRITING,3.0,Confused,False,2.8,Tuesday,False,0.34,,18.0,59.0,0.1
Undergraduate,  Computer Science  ,2025/04/23,20.28,9.0,Coding,4.0,Assignment Completed,True,3.9,Wednesday,False,0.44,0.09,22.0,81.0,0.16
Undergraduate,,2025-03-06,63.25,13.0,,3.0,Assignment Completed,False,2.6,thursday,False,0.21,0.13,23.0,87.0,0.03
Undergraduate,math,,4.84,560.6023102310231,Studying,2.0,idea drafted,True,1.5,Thursday,False,0.21,0.01,23.0,66.0,0.3
graduate,History,2025-05-12,32.0,7.0,Writing,2.0,Idea Drafted,True,3.6,Monday,false,0.22,0.07,23.0,45.0,0.07
Undergraduate,Engineering,2025-01-24,0.54,,Homework Help,3.0,Assignment Completed,True,3.7,Friday,False,1.85,0.01,19.0,,
UNDERGRADUATE,  Business  ,,46.51,17.0,Writing,5.0,assignment completed,True,5.0,Friday,,0.37,0.17,18.0,54.0,
undergraduate,Computer Science,2025-02-13,14.13,4.0,Writing,2.0,Assignment Completed,True,3.2,Thursday,false,0.28,0.04,22.0,86.0,0.18
Undergraduate,ENGINEERING,2025-04-14,18.92,5.0,Coding,4.0,  Confused  ,TRUE,,Monday,False,0.26,,22.0,16.0,0.26
high school,Psychology,2025-02-12,21.01,5.0,Homework Help,3.0,gave up,,3.4,Wednesday,False,0.24,0.05,14.0,3.0,0.06
Undergraduate,Computer Science,04/09/2025,,19.0,Writing,,assignment completed,False,2.9,WEDNESDAY,False,0.41,0.19,,80.0,0.08
Undergraduate,ENGINEERING,2025-04-03,17.73,3.0,Writing,3.0,Assignment Completed,FALSE,3.6,Thursday,False,0.17,0.03,18.0,77.0,0.05
GRADUATE,Math,2025-03-13,25.3,11.0,Writing,4.0,Assignment Completed,True,3.8,THURSDAY,False,0.43,0.11,33.0,5.0,0.04
Undergraduate,Engineering,2025/03/14,4.55,1.0,Studying,3.0,Confused,false,3.8,Friday,False,,0.01,19.0,60.0,0.13
High School,Engineering,2025/04/15,9.51,4.0,Writing,3.0,CONFUSED,True,3.5,Tuesday,False,,0.04,14.0,76.0,0.42
Undergraduate,engineering,2025-05-21,22.9,6.0,Studying,,Assignment Completed,False,2.0,Wednesday,FALSE,0.26,0.06,19.0,48.0,0.11
Undergraduate,Biology,12/18/2024,6.14,1.0,Studying,3.0,  Idea Drafted  ,TRUE,3.4,WEDNESDAY,False,0.16,0.01,21.0,49.0,0.16
Graduate,PSYCHOLOGY,2024-07-28,15.41,3.0,  Coding  ,,gave up,False,2.3,Sunday,True,0.19,0.03,34.0,75.0,0.38
UNDERGRADUATE,History,  2025-06-04  ,38.83,,  Coding  ,5.0,Idea Drafted,true,3.8,nan,False,0.23,0.09,20.0,14.0,0.16
Undergraduate,Math,2025-01-12,6.56,2.0,Writing,2.0,Idea Drafted,False,3.0,  Sunday  ,True,0.3,,20.0,3.0,0.35
Undergraduate,Computer Science,10/16/2024,16.34,5.0,Writing,2.0,Confused,True,1.1,Wednesday,FALSE,0.31,0.05,18.0,9.0,0.33
  Undergraduate  ,Business,2024/08/19,18.49,6.0,Writing,2.0,Assignment Completed,True,,Monday,FALSE,0.32,0.06,20.0,60.0,0.38
Graduate,Psychology,17 Jan 2025,15.0,5.0,Writing,4.0,Assignment Completed,True,4.4,Friday,False,0.33,0.05,29.0,62.0,0.48
Undergraduate,Engineering,24 Apr 2025,37.84,11.0,Research,5.0,Confused,False,5.0,Thursday,False,0.29,0.11,23.0,32.0,0.11
UNDERGRADUATE,Math,2024/11/13,22.74,7.0,Research,5.0,Idea Drafted,True,,Wednesday,,,0.07,21.0,42.0,0.07
Undergraduate,,2025-02-03,32.85,10.0,CODING,3.0,assignment completed,True,2.8,Monday,False,,0.1,22.0,52.0,0.33
Graduate,Engineering,2024/11/20,9.78,2.0,Writing,4.0,Gave Up,FALSE,5.0,Wednesday,False,0.2,0.02,34.0,89.0,0.26
Undergraduate,Math,2025/02/26,42.51,10.0,,2.0,ASSIGNMENT COMPLETED,False,1.6,wednesday,false,0.24,0.1,20.0,62.0,0.13
,Computer Science,2025-01-30,15.73,4.0,Coding,5.0,Idea Drafted,True,4.2,Thursday,False,0.25,0.04,21.0,52.0,0.18
Undergraduate,Business,2024-09-28,18.29,7.0,STUDYING,3.0,Assignment Completed,False,3.6,Saturday,TRUE,0.38,0.07,23.0,63.0,0.08
Graduate,Psychology,2024-08-20,40.15,18.0,studying,1.0,Assignment Completed,True,1.3,tuesday,False,0.45,0.18,29.0,52.0,0.27
graduate,Computer Science,2024-10-30,5.0,1.0,,4.0,ASSIGNMENT COMPLETED,TRUE,4.8,Wednesday,NAN,0.2,0.01,28.0,70.0,0.1
high school,History,2025-01-29,10.53,2.0,HOMEWORK HELP,4.0,Idea Drafted,True,4.3,Wednesday,FALSE,0.19,0.02,16.0,57.0,0.36
Undergraduate,Business,08/02/2024,43.41,9.0,Writing,3.0,Assignment Completed,true,1.6,  Friday  ,False,0.21,0.09,20.0,67.0,
High School,psychology,2024-10-16,2.72,1.0,Brainstorming,3.0,Idea Drafted,  True  ,3.9,wednesday,False,,0.01,14.0,13.0,0.11
Graduate,Psychology,2024-07-02,35.52,11.0,Writing,1.0,  Assignment Completed  ,True,1.0,Tuesday,,0.31,0.11,28.0,40.0,0.46
Undergraduate,Psychology,2025-04-19,16.7,7.0,Coding,4.0,ASSIGNMENT COMPLETED,true,3.3,saturday,True,0.42,0.07,,70.0,0.17
Undergraduate,Psychology,2025-01-04,6.35,1.0,Studying,5.0,gave up,True,5.0,SATURDAY,  True  ,0.16,0.01,22.0,79.0,0.33
Graduate,math,2025-06-03,,1.0,Coding,3.0,,True,2.4,Tuesday,False,0.33,0.01,31.0,,0.44
  High School  ,Math,22-10-2024,8.92,2.0,coding,3.0,Assignment Completed,  TRUE  ,3.4,tuesday,False,0.22,0.02,15.0,96.0,0.26
Undergraduate,Psychology,2025-01-31,14.63,3.0,Homework Help,5.0,Confused,false,4.6,Friday,False,0.21,0.03,22.0,71.0,0.28
High School,Psychology,2025-02-19,,10.0,Writing,4.0,Assignment Completed,TRUE,4.0,Wednesday,False,0.26,0.1,15.0,39.0,0.32
Undergraduate,Biology,2025-04-27,3.68,1.0,Coding,2.0,Assignment Completed,FALSE,,Sunday,True,0.27,0.01,19.0,96.0,
High School,History,22-05-2025,1.53,1.0,WRITING,4.0,Idea Drafted,false,3.2,Thursday,,0.65,0.01,15.0,,
Undergraduate,BIOLOGY,2024-09-07,17.11,6.0,,2.0,Idea Drafted,False,3.2,SATURDAY,True,0.35,0.06,20.0,28.0,0.36
HIGH SCHOOL,engineering,2024-08-31,21.03,4.0,Brainstorming,5.0,Assignment Completed,true,5.0,Saturday,True,0.19,0.04,15.0,8.0,0.46
  UNDERGRADUATE  ,business,2025/06/04,22.12,5.0,Coding,3.0,Assignment Completed,True,2.3,Wednesday,  false  ,0.23,0.05,19.0,44.0,0.41
Graduate,PSYCHOLOGY,2024-09-05,33.16,10.0,Coding,4.0,Assignment Completed,true,4.8,Thursday,False,0.3,0.1,28.0,91.0,0.34
High School,History,2024-08-05,24.54,8.0,  Research  ,5.0,Idea Drafted,True,,MONDAY,False,0.33,0.08,,,0.13
Undergraduate,  Business  ,03 Sep 2024,20.58,9.0,Writing,2.0,Assignment Completed,TRUE,2.1,Tuesday,FALSE,,0.09,21.0,88.0,0.14
  UNDERGRADUATE  ,nan,2025-05-15,30.43,7.0,Studying,3.0,Gave Up,false,2.5,  Thursday  ,False,0.23,0.07,19.0,34.0,0.33
GRADUATE,HISTORY,23 Apr 2025,11.78,3.0,Writing,5.0,Assignment Completed,False,4.5,Wednesday,False,0.25,0.03,,,0.0
Graduate,Psychology,03 May 2025,44.14,16.0,  Writing  ,4.0,Assignment Completed,True,3.4,SATURDAY,True,,0.16,32.0,35.0,0.07
Undergraduate,math,,991.9203150461703,10.0,Studying,3.0,Idea Drafted,True,2.2,Thursday,False,0.46,0.1,20.0,70.0,0.13
Undergraduate,business,2024-09-18,12.27,2.0,Writing,2.0,assignment completed,False,1.3,Wednesday,,0.16,0.02,,97.0,0.27
High School,Math,  2024-10-16  ,7.32,1.0,Studying,4.0,Assignment Completed,,5.0,Wednesday,false,0.14,0.01,18.0,8.0,0.42
High School,  Computer Science  ,2025-04-23,10.59,4.0,Writing,2.0,Assignment Completed,true,1.3,  Wednesday  ,False,0.38,0.04,14.0,74.0,0.34
  Undergraduate  ,History,2024-08-17,6.09,1.0,Coding,3.0,Assignment Completed,True,3.6,Saturday,  TRUE  ,0.16,0.01,23.0,85.0,0.01
Undergraduate,math,2025-04-21,75.12,16.0,Writing,5.0,Confused,true,4.5,Monday,False,,,19.0,,0.13
High School,MATH,2024-12-07,13.56,3.0,,3.0,Gave Up,False,3.4,Saturday,,0.22,0.03,17.0,23.0,0.34
Undergraduate,Engineering,2024-11-27,18.25,,Homework Help,3.0,assignment completed,,4.0,Wednesday,False,0.16,0.03,22.0,31.0,0.3
Graduate,Computer Science,2025-01-29,11.09,4.0,Writing,2.0,Assignment Completed,True,3.0,Wednesday,False,0.36,0.04,31.0,35.0,0.38
Undergraduate,Biology,2025-01-27,43.04,15.0,Research,4.0,Assignment Completed,True,2.5,monday,False,0.35,0.15,23.0,9.0,0.07
Undergraduate,Psychology,2025-06-23,13.98,4.0,Research,4.0,Assignment Completed,True,,Monday,False,0.29,0.04,22.0,29.0,0.44
Undergraduate,,2024-07-15,39.49,13.0,Writing,3.0,Idea Drafted,True,,Monday,False,0.33,0.13,19.0,80.0,0.43
Undergraduate,Computer Science,2024-11-29,11.29,3.0,Homework Help,4.0,Assignment Completed,True,4.8,,FALSE,,0.03,18.0,29.0,0.07
Undergraduate,Engineering,2025-02-20,24.22,6.0,homework help,3.0,Assignment Completed,True,2.3,Thursday,False,0.25,0.06,,37.0,0.5
Undergraduate,Psychology,2025-03-22,6.19,2.0,Homework Help,4.0,Gave Up,False,2.7,Saturday,True,0.32,0.02,21.0,74.0,0.26
Undergraduate,History,02 Jul 2024,10.1,2.0,Studying,3.0,Assignment Completed,true,2.8,Tuesday,  False  ,0.2,0.02,21.0,88.0,0.41
Undergraduate,math,2025-01-26,22.2,6.0,Studying,4.0,Idea Drafted,nan,4.1,  Sunday  ,true,0.27,0.06,18.0,89.0,0.03
Undergraduate,,2024-12-24,,3.0,Studying,3.0,Assignment Completed,True,2.2,tuesday,False,0.31,0.03,20.0,72.0,0.28
High School,Computer Science,NAN,18.84,5.0,Writing,4.0,Assignment Completed,true,4.5,Friday,False,0.27,0.05,17.0,57.0,0.0
undergraduate,Biology,2024-11-25,15.67,4.0,Homework Help,3.0,Idea Drafted,True,4.0,Monday,false,0.26,0.04,19.0,62.0,0.22
Undergraduate,COMPUTER SCIENCE,2025-02-27,1.77,1.0,Homework Help,3.0,Assignment Completed,True,2.2,Thursday,False,0.56,0.01,19.0,66.0,0.28
Undergraduate,History,2024/08/08,,2.0,writing,2.0,IDEA DRAFTED,true,2.6,  Thursday  ,False,0.28,0.02,,79.0,0.47
Undergraduate,Math,2024-12-18,10.05,3.0,  WRITING  ,4.0,  idea drafted  ,True,3.6,Wednesday,FALSE,0.3,0.03,20.0,90.0,0.4
undergraduate,Business,04/16/2025,6.73,2.0,Coding,3.0,Idea Drafted,True,2.8,Wednesday,False,0.3,0.02,18.0,92.0,0.02
,history,,64.46,29.0,Writing,4.0,Assignment Completed,True,,tuesday,False,0.45,0.29,20.0,25.0,0.18
Undergraduate,computer science,2025-06-05,16.08,3.0,,5.0,Confused,false,4.8,Thursday,  False  ,0.19,,20.0,51.0,0.12
High School,Math,2024-07-05,36.3,11.0,Studying,4.0,confused,false,3.8,Friday,False,0.3,0.11,16.0,94.0,0.21
nan,Psychology,2025-02-28,3.62,1.0,Studying,4.0,Assignment Completed,True,5.0,Friday,False,0.28,0.01,21.0,96.0,0.17
High School,,2024-12-12,,,Research,4.0,Gave Up,False,4.9,Thursday,false,0.22,0.09,17.0,45.0,0.04
Undergraduate,ENGINEERING,2024-08-30,33.76,6.0,HOMEWORK HELP,5.0,Assignment Completed,TRUE,5.0,Friday,False,0.18,0.06,20.0,64.0,0.21
Undergraduate,Psychology,2025-04-10,6.25,1.0,Writing,3.0,Assignment Completed,TRUE,3.7,Thursday,False,0.16,0.01,22.0,9.0,0.5
Undergraduate,Engineering,15-09-2024,12.46,2.0,Writing,1.0,Assignment Completed,True,2.3,Sunday,True,0.16,0.02,22.0,79.0,0.3
Undergraduate,  Biology  ,2024-10-22,19.87,5.0,Studying,3.0,CONFUSED,False,3.2,Tuesday,False,0.25,0.05,22.0,51.0,0.39
High School,Business,2025-01-28,22.42,9.0,Homework Help,3.0,Assignment Completed,TRUE,4.0,Tuesday,False,0.4,0.09,14.0,76.0,0.37
Undergraduate,Engineering,2025-04-01,31.99,11.0,Homework Help,3.0,Assignment Completed,,2.5,Tuesday,FALSE,0.34,0.11,18.0,,0.15
Undergraduate,History,20 Sep 2024,,4.0,Writing,2.0,Assignment Completed,True,1.5,Friday,nan,0.22,0.04,21.0,11.0,0.28
Undergraduate,  Business  ,2025-01-11,2.92,1.0,Coding,5.0,Assignment Completed,True,5.0,nan,True,0.34,0.01,18.0,9.0,0.0
  Undergraduate  ,COMPUTER SCIENCE,2025-02-14,,5.0,HOMEWORK HELP,2.0,Assignment Completed,,1.0,Friday,FALSE,0.2,0.05,21.0,27.0,0.03
Undergraduate,History,2024-09-17,12.13,3.0,Studying,4.0,Idea Drafted,True,3.8,TUESDAY,False,,0.03,23.0,62.0,0.33
High School,history,2024/10/28,27.22,12.0,Studying,3.0,Idea Drafted,True,3.0,Monday,FALSE,0.44,0.12,18.0,58.0,0.07
Undergraduate,Biology,2025-03-11,25.6,6.0,Homework Help,4.0,Confused,False,5.0,Tuesday,,,0.06,22.0,7.0,0.22
High School,PSYCHOLOGY,03/08/2025,10.61,2.0,Homework Help,3.0,Assignment Completed,True,3.0,Saturday,True,0.19,0.02,14.0,54.0,0.48
Undergraduate,PSYCHOLOGY,  2025-02-12  ,16.31,6.0,  nan  ,5.0,Assignment Completed,True,4.6,Wednesday,False,0.37,,21.0,56.0,0.0
Undergraduate,Math,  2025-06-11  ,,2.0,Writing,2.0,assignment completed,True,1.9,Wednesday,False,0.19,0.02,20.0,40.0,0.02
high school,Business,2024-11-11,33.4,,Writing,4.0,Idea Drafted,true,,Monday,False,0.21,0.07,15.0,55.0,0.29
High School,,2025-03-03,17.75,,Homework Help,3.0,Assignment Completed,TRUE,3.6,Monday,false,0.23,0.04,18.0,83.0,0.42
Graduate,Business,2024-09-26,18.42,4.0,Coding,3.0,Assignment Completed,True,4.3,Thursday,false,,0.04,28.0,86.0,0.24
Undergraduate,Computer Science,06/07/2025,22.47,9.0,Studying,4.0,Idea Drafted,False,3.6,Saturday,True,0.4,0.09,21.0,97.0,0.48
Undergraduate,Math,2025-01-12,41.65,10.0,Studying,3.0,Idea Drafted,true,2.6,Sunday,True,0.24,0.1,20.0,15.0,0.11
Undergraduate,Computer Science,2024-08-16,20.88,,Research,5.0,assignment completed,True,4.1,,False,0.19,0.04,20.0,35.0,0.29
Undergraduate,MATH,2025-03-06,9.78,4.0,,4.0,assignment completed,True,4.7,Thursday,FALSE,0.41,0.04,,67.0,0.43
Undergraduate,history,2025-06-07,,8.0,Research,4.0,  Confused  ,False,3.5,  Saturday  ,True,0.26,0.08,22.0,73.0,0.47
Undergraduate,Engineering,2025-01-27,9.0,2.0,Coding,3.0,Assignment Completed,,,MONDAY,False,0.22,0.02,,94.0,0.15
Undergraduate,  Business  ,2025-04-13,18.56,4.0,studying,5.0,Idea Drafted,True,4.8,Sunday,True,0.22,0.04,19.0,94.0,0.11
Undergraduate,Business,2024-06-30,24.06,7.0,Coding,4.0,Confused,False,2.9,Sunday,  True  ,0.29,0.07,19.0,60.0,0.49
Undergraduate,History,2025-05-14,9.35,2.0,WRITING,2.0,idea drafted,,2.2,Wednesday,False,0.21,0.02,21.0,49.0,0.34
Undergraduate,Math,2025-05-07,7.07,2.0,Homework Help,5.0,Idea Drafted,True,,Wednesday,false,0.28,0.02,19.0,74.0,0.07
Graduate,HISTORY,2024-10-12,25.84,6.0,Homework Help,4.0,Assignment Completed,True,4.1,Saturday,  True  ,0.23,0.06,23.0,58.0,0.25
Undergraduate,engineering,2025-05-11,12.32,3.0,Homework Help,4.0,Assignment Completed,False,3.5,SUNDAY,True,0.24,,18.0,37.0,0.01
Undergraduate,Psychology,2024-06-25,5.61,1.0,Homework Help,4.0,Assignment Completed,True,,Tuesday,False,0.18,0.01,21.0,66.0,0.34
High School,COMPUTER SCIENCE,  2025-06-07  ,3.17,1.0,Coding,5.0,gave up,  True  ,5.0,SATURDAY,TRUE,0.32,0.01,15.0,74.0,0.04
Graduate,,2024-11-04,12.07,2.0,Homework Help,3.0,Assignment Completed,True,3.7,Monday,False,0.17,0.02,30.0,68.0,0.17
Graduate,  Computer Science  ,2024-11-29,37.91,8.0,Writing,5.0,ASSIGNMENT COMPLETED,FALSE,5.0,Friday,FALSE,0.21,0.08,29.0,4.0,0.03
High School,Engineering,2025-06-03,14.34,3.0,Writing,4.0,  Assignment Completed  ,False,,Tuesday,False,0.21,0.03,15.0,45.0,0.26
Graduate,  history  ,2025-03-08,,1.0,Writing,4.0,Confused,True,4.9,Saturday,True,1.41,0.01,34.0,68.0,0.43
Undergraduate,Biology,2024-08-08,19.18,7.0,Writing,3.0,Assignment Completed,True,,Thursday,False,0.36,0.07,23.0,98.0,0.35
Undergraduate,History,2024-08-18,,2.0,Homework Help,3.0,Confused,False,3.2,Sunday,True,0.14,0.02,18.0,36.0,0.22
,Business,2025-06-09,12.19,4.0,Writing,3.0,Idea Drafted,False,3.4,Monday,False,0.33,0.04,18.0,84.0,0.28
High School,Psychology,2025-03-20,,14.0,Studying,3.0,Confused,False,1.0,Thursday,False,,0.14,14.0,65.0,0.45
  Undergraduate  ,MATH,2025-01-29,11.11,2.0,Writing,1.0,Assignment Completed,False,,Wednesday,False,0.18,0.02,21.0,99.0,0.11
Undergraduate,Business,2025-02-15,,3.0,Writing,4.0,Assignment Completed,TRUE,3.7,Saturday,True,,0.03,20.0,14.0,0.36
High School,Math,2024-12-09,11.6,4.0,Writing,4.0,assignment completed,True,4.5,Monday,False,0.34,0.04,14.0,92.0,0.34
Undergraduate,Computer Science,2024-11-03,3.72,1.0,,5.0,Confused,,4.4,Sunday,True,0.27,0.01,23.0,98.0,0.12
Graduate,Biology,2024-07-05,12.85,5.0,Coding,3.0,Idea Drafted,True,3.5,Friday,False,0.39,0.05,25.0,38.0,0.36
  Undergraduate  ,Engineering,2025-01-23,39.49,14.0,Coding,3.0,  Confused  ,true,2.7,thursday,False,0.35,0.14,19.0,23.0,0.28
Graduate,  Biology  ,2025-05-02,6.21,1.0,Homework Help,5.0,Assignment Completed,True,,Friday,False,0.16,0.01,22.0,31.0,0.04
Graduate,Psychology,2025-05-19,14.4,4.0,writing,4.0,Assignment Completed,  True  ,5.0,Monday,False,0.28,0.04,22.0,25.0,0.38
High School,Math,2025/04/24,10.21,3.0,Homework Help,4.0,Assignment Completed,False,5.0,Thursday,False,,0.03,16.0,72.0,0.16
High School,Math,2024-08-20,,11.0,,4.0,assignment completed,True,4.4,Tuesday,false,0.42,0.11,14.0,12.0,0.27
Graduate,Computer Science,2024-11-28,76.75,16.0,Writing,4.0,Idea Drafted,True,,Thursday,,0.21,,26.0,8.0,0.4
Graduate,PSYCHOLOGY,2025-02-08,24.71,10.0,Brainstorming,4.0,ASSIGNMENT COMPLETED,False,5.0,Saturday,True,0.4,0.1,24.0,79.0,0.38
Graduate,PSYCHOLOGY,2025-04-16,6.03,1.0,Writing,4.0,Idea Drafted,True,4.6,Wednesday,  False  ,0.17,0.01,24.0,94.0,0.11
Graduate,,2024-11-10,17.46,8.0,writing,4.0,Assignment Completed,true,3.3,Sunday,True,0.46,0.08,23.0,44.0,0.5
graduate,Business,2025-01-21,7.41,1.0,WRITING,4.0,Confused,True,,Tuesday,False,0.13,0.01,26.0,16.0,0.38
graduate,Engineering,2025-03-13,,4.0,RESEARCH,4.0,Gave Up,False,4.8,Thursday,false,0.38,0.04,27.0,71.0,0.05
Undergraduate,,2024-08-19,17.54,4.0,writing,3.0,Assignment Completed,True,3.4,Monday,False,0.23,0.04,18.0,94.0,0.12
Undergraduate,Psychology,2024-12-09,13.91,6.0,HOMEWORK HELP,3.0,  Idea Drafted  ,FALSE,3.2,Monday,False,0.43,0.06,22.0,18.0,0.31
UNDERGRADUATE,  Biology  ,2025-03-07,25.84,,studying,,GAVE UP,True,2.5,friday,FALSE,0.35,0.09,22.0,83.0,
Undergraduate,Psychology,2024-10-05,3.1,1.0,Studying,3.0,Assignment Completed,True,2.3,Saturday,TRUE,0.32,0.01,21.0,61.0,0.41
High School,math,2024-07-30,27.28,6.0,,4.0,Assignment Completed,True,3.0,nan,False,,0.06,15.0,63.0,0.46
  Undergraduate  ,Computer Science,2025-04-24,17.87,4.0,STUDYING,4.0,Assignment Completed,True,4.0,THURSDAY,  False  ,,0.04,22.0,42.0,0.31
UNDERGRADUATE,ENGINEERING,2025-01-23,39.81,17.0,Coding,1.0,Idea Drafted,True,1.4,thursday,False,0.43,0.17,23.0,96.0,0.48
Undergraduate,Business,2024-11-19,31.35,9.0,writing,3.0,Confused,TRUE,,Tuesday,False,0.29,0.09,18.0,71.0,
Undergraduate,Biology,2025-02-01,29.35,,Studying,3.0,confused,False,,  Saturday  ,True,0.34,0.1,21.0,67.0,
Graduate,NAN,2024-11-17,7.97,2.0,  Brainstorming  ,4.0,Idea Drafted,True,,Sunday,,0.25,0.02,27.0,1.0,0.16
Undergraduate,Computer Science,2024-11-04,14.92,3.0,Studying,4.0,idea drafted,false,,Monday,FALSE,0.2,0.03,,9.0,0.42
Undergraduate,ENGINEERING,29-11-2024,32.99,13.0,  Writing  ,,Confused,True,5.0,Friday,False,0.39,0.13,19.0,91.0,0.35
High School,business,2025-02-23,21.06,,Studying,5.0,Confused,  false  ,4.0,SUNDAY,True,0.28,0.06,14.0,64.0,0.16
Graduate,engineering,2024-07-22,22.93,4.0,WRITING,5.0,IDEA DRAFTED,False,5.0,Monday,False,0.17,0.04,33.0,97.0,0.22
Undergraduate,Business,2025-06-17,39.75,18.0,Studying,3.0,IDEA DRAFTED,true,3.0,Tuesday,False,0.45,0.18,19.0,50.0,0.46
high school,Biology,2025-05-12,12.0,3.0,Homework Help,5.0,Assignment Completed,True,4.6,MONDAY,False,0.25,0.03,16.0,26.0,0.27
Undergraduate,,2024-09-16,,6.0,Studying,2.0,Confused,true,1.8,MONDAY,False,0.31,0.06,19.0,51.0,0.3
Undergraduate,Psychology,2024-06-29,26.61,9.0,Studying,4.0,Idea Drafted,TRUE,4.8,Saturday,True,0.34,0.09,19.0,16.0,0.28
undergraduate,math,2025-01-28,1.66,1.0,writing,2.0,  Assignment Completed  ,True,1.3,Tuesday,False,,,23.0,69.0,0.19
Undergraduate,business,2024-12-28,16.36,5.0,studying,4.0,,,3.0,Saturday,True,0.31,0.05,20.0,64.0,0.48
  graduate  ,Engineering,2025-05-04,3.74,1.0,Coding,5.0,Assignment Completed,,5.0,Sunday,true,0.27,0.01,28.0,10.0,0.22
Undergraduate,,2024-12-06,52.49,11.0,Research,,Idea Drafted,False,3.1,Friday,False,0.21,0.11,20.0,,0.11
Graduate,HISTORY,  2024-08-01  ,991.9203150461703,9.0,WRITING,,Assignment Completed,True,4.3,Thursday,False,0.42,0.09,23.0,96.0,0.18
Graduate,Engineering,2025-03-11,40.93,10.0,  Coding  ,3.0,NAN,TRUE,4.3,Tuesday,False,0.24,0.1,24.0,47.0,0.26
Undergraduate,  Computer Science  ,2025-05-12,10.42,2.0,Writing,5.0,ASSIGNMENT COMPLETED,false,4.0,Monday,False,0.19,0.02,18.0,15.0,0.18
  undergraduate  ,Business,2025-03-17,38.68,10.0,Writing,3.0,Assignment Completed,TRUE,4.3,Monday,False,0.26,0.1,20.0,54.0,
Graduate,Psychology,  2025-06-01  ,,1.0,Studying,2.0,Idea Drafted,true,2.2,  Sunday  ,True,0.2,0.01,31.0,32.0,0.12
Undergraduate,  Psychology  ,2024-08-19,14.4,3.0,,3.0,Confused,True,3.3,Monday,FALSE,0.21,0.03,22.0,31.0,
Graduate,Psychology,17-04-2025,3.32,1.0,Studying,3.0,Idea Drafted,False,3.1,Thursday,  False  ,0.3,,22.0,71.0,0.31
Graduate,Biology,2024-09-05,18.52,4.0,,3.0,ASSIGNMENT COMPLETED,True,3.6,Thursday,nan,0.22,0.04,23.0,2.0,0.33
  Undergraduate  ,  Business  ,2025-05-03,11.06,2.0,Homework Help,3.0,Assignment Completed,True,,Saturday,True,0.18,0.02,20.0,64.0,0.19
Graduate,BUSINESS,2025-01-15,5.29,1.0,  Studying  ,2.0,Assignment Completed,True,1.1,Wednesday,False,0.19,0.01,30.0,86.0,0.03
  Graduate  ,Biology,10/23/2024,33.57,6.0,Homework Help,3.0,,True,2.8,Wednesday,False,,0.06,22.0,57.0,0.17
  Undergraduate  ,ENGINEERING,2025-01-31,8.45,,WRITING,4.0,Idea Drafted,True,3.0,,  False  ,0.24,0.02,23.0,23.0,0.45
Graduate,MATH,2024-11-01,11.79,2.0,Homework Help,1.0,Assignment Completed,True,1.0,Friday,False,0.17,0.02,34.0,14.0,0.2
